"""Valores Recolhidos por Distribuidora - Art. 3º da Lei 8.685/93 - Em Reais (R$) - 2002 a 2017""";;;
;;;
"""Ano de Recolhimento""";"""Empresa Estrangeira Representada""";"""Empresa Brasileira """;"""Valor (R$)"""
"""2012""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""674,18"""
"""2012""";"""MFI SARL""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""8635,38"""
"""2012""";"""MK2 SA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""12659,21"""
"""2012""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""199227,58"""
"""2012""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""133516,52"""
"""2012""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""3189829"""
"""2012""";"""SARAVA PICTURES, LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""160401,66"""
"""2012""";"""SARAVA PICTURES, LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""356071,03"""
"""2012""";"""SAS FILMS DISTRIBUTION""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""485,11"""
"""2012""";"""SAS FILMS DISTRIBUTION""";"""SERENDIP FILMES LTDA""";"""25345,5"""
"""2012""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""207129,2"""
"""2012""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""4795319,05"""
"""2012""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""TRUETECH S/A""";"""1381,53"""
"""2012""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""SARAIVA E SICILIANO S/A""";"""3619,93"""
"""2012""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""VIDEOLAR S/A""";"""105000"""
"""2012""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""AMZ MIDIA INDUSTRIAL S/A""";"""105000"""
"""2012""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""7954319,93"""
"""2012""";"""TF1 INTERNATIONAL""";"""ANTONIO FERNANDES FILMES LTDA""";"""25610,51"""
"""2012""";"""THE MATCH FACTORY GMBH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""20854,52"""
"""2012""";"""UNITED INTERNATIONAL PICTURES BV""";"""SARAIVA E SICILIANO S/A""";"""783,12"""
"""2012""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""4623718,85"""
"""2012""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""476437,5"""
"""2012""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""AMZ MIDIA INDUSTRIAL S/A""";"""943897,5"""
"""2012""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""1155000"""
"""2012""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""SARAIVA E SICILIANO S/A""";"""1416,22"""
"""2012""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""TRUETECH S/A""";"""10517,78"""
"""2012""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""NET SERVIÇOS DE COMUNICAÇÃO S/A.""";"""234843,44"""
"""2012""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""AMZ MIDIA INDUSTRIAL S/A""";"""2100000"""
"""2012""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""WARNER BROS. (SOUTH) INC.""";"""3230874,89"""
"""2012""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""VIDEOLAR S/A""";"""3465000"""
"""2012""";"""XYSTUS, LLC""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""6607,83"""
"""2011""";"""BUENA VISTA INTERNATIONAL, INC""";"""SARAIVA E SICILIANO S/A""";"""1703,07"""
"""2011""";"""BUENA VISTA INTERNATIONAL, INC""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""2826794,18"""
"""2011""";"""BUENA VISTA INTERNATIONAL, INC""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""5479966,32"""
"""2011""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""396665,86"""
"""2011""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""1599327,28"""
"""2011""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""1342089,37"""
"""2011""";"""GEM ENTERTAINMENT KFT""";"""SWEN ENTRETENIMENTOS LTDA""";"""209369,23"""
"""2011""";"""GEM ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""354787,06"""
"""2011""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""218846,22"""
"""2011""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""146,57"""
"""2011""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""80770,39"""
"""2011""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""2480,76"""
"""2011""";"""LEDA FILMS S.A.""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""3630,01"""
"""2011""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""11685,23"""
"""2011""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE CINEMAS LTDA.""";"""12305,01"""
"""2011""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""442340,55"""
"""2011""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""22696,58"""
"""2011""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""227716,19"""
"""2011""";"""SAS FILMS DISTRIBUTION""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2341,63"""
"""2011""";"""SAS FILMS DISTRIBUTION""";"""SERENDIP FILMES LTDA""";"""22374,41"""
"""2011""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""68723,31"""
"""2011""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1557809,7"""
"""2011""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""WMIX DISTRIBUIDORA LTDA.""";"""157500"""
"""2011""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""VIDEOLAR S/A""";"""2257500"""
"""2011""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""7637321,1"""
"""2011""";"""TF1 INTERNATIONAL""";"""ANTONIO FERNANDES FILMES LTDA""";"""8495,96"""
"""2011""";"""THE MATCH FACTORY GMBH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2190,82"""
"""2011""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""4284249,29"""
"""2011""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""812929,31"""
"""2011""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""1732500"""
"""2011""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""WARNER BROS. (SOUTH) INC.""";"""3379100,77"""
"""2011""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""VIDEOLAR S/A""";"""4126500"""
"""2011""";"""WARNER BROS. HOLLAND""";"""WARNER BROS. (SOUTH) INC.""";"""168372,66"""
"""2011""";"""XYSTUS, LLC""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""7166,25"""
"""2010""";"""BAVARIA MEDIA GMBH/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""ART FILMS S/A""";"""6570,55"""
"""2010""";"""BUENA VISTA INTERNATIONAL, INC""";"""SARAIVA E SICILIANO S/A""";"""530,36"""
"""2010""";"""BUENA VISTA INTERNATIONAL, INC""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""6180825,23"""
"""2010""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""457201,81"""
"""2010""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""1084465,08"""
"""2010""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1207,5"""
"""2010""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""ANTONIO FERNANDES FILMES LTDA""";"""18446,39"""
"""2010""";"""FANDANGO S R L""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""6338,22"""
"""2010""";"""FORTISSIMO FILM SALES B.V.""";"""SERENDIP FILMES LTDA""";"""1182,69"""
"""2010""";"""FREEWAY ENTERTAINMENT KFT""";"""VIDEOLAR S/A""";"""30506,82"""
"""2010""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""1461650,77"""
"""2010""";"""GALLIONS COMERCIO E SERVIÇOS LTDA""";"""VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA""";"""32721,09"""
"""2010""";"""GEM ENTERTAINMENT KFT""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""15487,49"""
"""2010""";"""GEM ENTERTAINMENT KFT""";"""SWEN ENTRETENIMENTOS LTDA""";"""37753,79"""
"""2010""";"""GEM ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""301087,73"""
"""2010""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""469376,33"""
"""2010""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""VIDEOLAR S/A""";"""1511,28"""
"""2010""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""27246,1"""
"""2010""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""33003,61"""
"""2010""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""73,3"""
"""2010""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""28508,4"""
"""2010""";"""LE PACTE""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1213,09"""
"""2010""";"""LEDA FILMS S.A.""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""5541,47"""
"""2010""";"""MK2 SA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""623"""
"""2010""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""17735,93"""
"""2010""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE CINEMAS LTDA.""";"""82955,4"""
"""2010""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""277786"""
"""2010""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE CINEMAS LTDA.""";"""675295,38"""
"""2010""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""366641,14"""
"""2010""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""1476758,75"""
"""2010""";"""SAS FILMS DISTRIBUTION""";"""SERENDIP FILMES LTDA""";"""10240,33"""
"""2010""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""149067,81"""
"""2010""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1532039,06"""
"""2010""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""VIDEOLAR S/A""";"""861000"""
"""2010""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""VIDEOLAR S/A""";"""3298235,26"""
"""2010""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""7896082,56"""
"""2010""";"""TF1 INTERNATIONAL""";"""SERENDIP FILMES LTDA""";"""1557,12"""
"""2010""";"""THE MATCH FACTORY GMBH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""9236,31"""
"""2010""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""5177780,79"""
"""2010""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""1351584,06"""
"""2010""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""735000"""
"""2010""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""SARAIVA E SICILIANO S/A""";"""2406,57"""
"""2010""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""MEDIA STREAM COMUNICACAO E MARKETING LTDA""";"""6726,99"""
"""2010""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""SONY DADC BRASIL INDÚSTRIA COMÉRCIO E DISTRIBUIÇÃO VIDEO-FONOGRÁFICA LTDA""";"""46512,16"""
"""2010""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""VIDEOLAR S/A""";"""3073350"""
"""2010""";"""WARNER BROS. HOLLAND""";"""WARNER BROS. (SOUTH) INC.""";"""3157947,57"""
"""2010""";"""XYSTUS, LLC""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""14185,86"""
"""2009""";"""BAVARIA MEDIA GMBH/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4603,03"""
"""2009""";"""BAVARIA MEDIA GMBH/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""SERENDIP FILMES LTDA""";"""20210,94"""
"""2009""";"""BUENA VISTA INTERNATIONAL, INC""";"""VIDEOLAR S/A""";"""160353,76"""
"""2009""";"""BUENA VISTA INTERNATIONAL, INC""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""5723784,36"""
"""2009""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""182110,11"""
"""2009""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""675013,87"""
"""2009""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""ANTONIO FERNANDES FILMES LTDA""";"""20356,93"""
"""2009""";"""FORTISSIMO FILM SALES B.V.""";"""SERENDIP FILMES LTDA""";"""1973,42"""
"""2009""";"""FORTISSIMO FILM SALES B.V.""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2226"""
"""2009""";"""FREEWAY ENTERTAINMENT KFT""";"""CANNES PRODUÇÕES S/A""";"""208975,62"""
"""2009""";"""FREEWAY ENTERTAINMENT KFT""";"""VIDEOLAR S/A""";"""440634,33"""
"""2009""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""1669451,97"""
"""2009""";"""GALLIONS COMERCIO E SERVIÇOS LTDA""";"""VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA""";"""179510,54"""
"""2009""";"""GEM ENTERTAINMENT KFT""";"""SWEN ENTRETENIMENTOS LTDA""";"""27360,9"""
"""2009""";"""GEM ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""108085,84"""
"""2009""";"""GEM ENTERTAINMENT KFT""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""177371,86"""
"""2009""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""465320,61"""
"""2009""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""7993,02"""
"""2009""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""13077"""
"""2009""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""68233,02"""
"""2009""";"""LEDA FILMS S.A.""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""13969,07"""
"""2009""";"""MFI SARL""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""7047,07"""
"""2009""";"""MK2 SA""";"""ANTONIO FERNANDES FILMES LTDA""";"""7856,59"""
"""2009""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""82370,52"""
"""2009""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE CINEMAS LTDA.""";"""303028,07"""
"""2009""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""181247,75"""
"""2009""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE CINEMAS LTDA.""";"""803700,19"""
"""2009""";"""PROSCENIUM PICTURES LIMITED""";"""VIDEOLAR S/A""";"""33993,69"""
"""2009""";"""PROSCENIUM PICTURES LIMITED""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""253872,42"""
"""2009""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""999199,14"""
"""2009""";"""ROISSY FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1613,5"""
"""2009""";"""SAS FILMS DISTRIBUTION""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""3275,58"""
"""2009""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""294511,18"""
"""2009""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""1637660,33"""
"""2009""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""VIDEOLAR S/A""";"""902999,99"""
"""2009""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""VIDEOLAR S/A""";"""2004264,69"""
"""2009""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""FOX FILM DO BRASIL LTDA""";"""5702791,65"""
"""2009""";"""TF1 INTERNATIONAL""";"""SERENDIP FILMES LTDA""";"""3401,48"""
"""2009""";"""TF1 INTERNATIONAL""";"""ANTONIO FERNANDES FILMES LTDA""";"""23574,25"""
"""2009""";"""THE MATCH FACTORY GMBH""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""4240,32"""
"""2009""";"""UNITED INTERNATIONAL PICTURES BV""";"""SARAIVA E SICILIANO S/A""";"""5254,98"""
"""2009""";"""UNITED INTERNATIONAL PICTURES BV""";"""VIDEOLAR S/A""";"""315000"""
"""2009""";"""UNITED INTERNATIONAL PICTURES BV""";"""PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA.""";"""2596880,56"""
"""2009""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""1645997,14"""
"""2009""";"""VIACOM GLOBAL (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""1217999,99"""
"""2009""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""SARAIVA E SICILIANO S/A""";"""5250"""
"""2009""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""VIDEOLAR S/A""";"""105000"""
"""2009""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""WARNER BROS. (SOUTH) INC.""";"""1575385,64"""
"""2009""";"""WARNER BROS ENTERTAINMENT NEDERLAND B.V""";"""MICROSERVICE TECNOLOGIA DIGITAL DA AMAZONIA LTDA""";"""3622039,46"""
"""2009""";"""WARNER BROS. HOLLAND""";"""WARNER BROS. (SOUTH) INC.""";"""898312,99"""
"""2009""";"""XYSTUS, LLC""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""23333,52"""
"""2008""";"""BAC FILMS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1260,52"""
"""2008""";"""BUENA VISTA INTERNATIONAL, INC""";"""VIDEOLAR S/A""";"""4560212,71"""
"""2008""";"""CELLULOID DREAMS SAS""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""2574,43"""
"""2008""";"""CELLULOID DREAMS SAS""";"""ANTONIO FERNANDES FILMES LTDA""";"""35036,24"""
"""2008""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""LK TEL DISTRIBUIDORA DE FILMES LTDA.""";"""65193,93"""
"""2008""";"""CONSTELLATION ENTERTAINMENT GROUP LLC""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""354290,37"""
"""2008""";"""EBA FILMS INTERNATIONAL LTD""";"""EBA EMPRESA BRASILEIRA DE AUDIOVISUAL S/A""";"""32840,64"""
"""2008""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""ANTONIO FERNANDES FILMES LTDA""";"""766,7"""
"""2008""";"""EXCEPTION WILD BUNCH SA/TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""3553,2"""
"""2008""";"""FREEWAY ENTERTAINMENT KFT""";"""CANNES PRODUÇÕES S/A""";"""109079,18"""
"""2008""";"""FREEWAY ENTERTAINMENT KFT""";"""VIDEOLAR S/A""";"""269670,84"""
"""2008""";"""FREEWAY ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""1973151,92"""
"""2008""";"""GALLIONS COMERCIO E SERVIÇOS LTDA""";"""VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA""";"""450796,93"""
"""2008""";"""GAUMONT""";"""ANTONIO FERNANDES FILMES LTDA""";"""22841,52"""
"""2008""";"""GEM ENTERTAINMENT KFT""";"""FIVE STARS DISTRIBUIDORA DE FILMES LTDA.""";"""1583,53"""
"""2008""";"""GEM ENTERTAINMENT KFT""";"""LW EDITORA DISTRIBUIDORA E ASSESSORIA DE COMUNICAÇÃO LTDA""";"""11689,65"""
"""2008""";"""GEM ENTERTAINMENT KFT""";"""NEW STAR DISTRIBUIDORA DE FILMES LTDA.""";"""18110,26"""
"""2008""";"""GEM ENTERTAINMENT KFT""";"""SWEN ENTRETENIMENTOS LTDA""";"""46253"""
"""2008""";"""GEM ENTERTAINMENT KFT""";"""SONOPRESS - RIMO INDÚSTRIA E COMÉRCIO FONOGRÁFICA S.A.""";"""162787,62"""
"""2008""";"""GEM ENTERTAINMENT KFT""";"""WMIX DISTRIBUIDORA LTDA.""";"""232125,32"""
"""2008""";"""GEM ENTERTAINMENT KFT""";"""SONOPRESS - RIMO DA AMAZÔNIA INDÚSTRIA E COMÉRCIO FONOGRÁFICA LTDA""";"""283307,35"""
"""2008""";"""GEWILAND CORPORATION S.A.""";"""CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE""";"""20593,3"""
"""2008""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""ANTONIO FERNANDES FILMES LTDA""";"""778677,11"""
"""2008""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""VIDEOLAR S/A""";"""10579,37"""
"""2008""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""VIDEOLAR S/A""";"""78562,34"""
"""2008""";"""LATIN FILM FUNDS (NETHERLANDS) B.V.""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""84432,99"""
"""2008""";"""LEDA FILMS S.A.""";"""ARROW ENTERTAINMENT BRASIL - PRODUÇÃO, DISTRIBUIÇÃO E COMÉRCIO DE FILMES LTDA.""";"""2881,49"""
"""2008""";"""MK2 SA""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""1418,76"""
"""2008""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""45759,01"""
"""2008""";"""P.A. PICTURES WORLDWIDE CORP.""";"""PLAYARTE CINEMAS LTDA.""";"""569063,88"""
"""2008""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE PICTURES ENTRETENIMENTOS LTDA.""";"""106108,43"""
"""2008""";"""PLAYARTE INTERNATIONAL C.V.""";"""PLAYARTE CINEMAS LTDA.""";"""300873,33"""
"""2008""";"""PROSCENIUM PICTURES LIMITED""";"""SM DISTRIBUIDORA DE FILMES LTDA""";"""11106,56"""
"""2008""";"""PROSCENIUM PICTURES LIMITED""";"""VIDEOLAR S/A""";"""82771,73"""
"""2008""";"""SAS FILMS DISTRIBUTION""";"""TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA""";"""6334,19"""
"""2008""";"""SB TV PROGRAMMING INTERNATIONAL CORP""";"""SYNAPSE PRODUÇÕES LTDA""";"""263625,61"""
"""2008""";"""SONY CORPORATION OF AMERICA""";"""COLUMBIA TRISTAR FILMES DO BRASIL LTDA""";"""605185,49"""
"""2008""";"""SONY PICTURES HOME ENTERTAINMENT INC""";"""VIDEOLAR S/A""";"""1448999,99"""
