"""Valores Recolhidos - Art. 3ºA da Lei 8.685/93 -  Em Reais (R$) - 2009 a 2017""";;;
;;;
"""Ano de Recolhimento""";"""Empresa Remetente""";"""Empresa Estrangeira Contribuinte""";"""Valor (R$)"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""1404601,16"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FSLA HOLDINGS LLC""";"""1478677,6"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""1548745,72"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Full Play Group.""";"""1633879,06"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""PARAMOUNT SPAIN SL""";"""2311219,63"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL-UEFA""";"""2992533,37"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ZUFFA INTERNATIONAL, LLC""";"""5299004,13"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""TORNEOS & TRAFFIC SPORTS MARKETING B.V""";"""5449363,25"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FÉDÉRATION INTERNATIONALE DE FOOTBALL ASSOCIATION""";"""23258117,64"""
"""2015""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FORMULA ONE WORLD CHAMPIONSHIP LIMITED.""";"""25162229,54"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Stichting Sportevenementen le champion.""";"""2943,56"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""B4 CAPITAL SA.""";"""3597,45"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Infront Sports & Media AG.""";"""6565"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""SWIMMING AUSTRALIA LIMITED ACN""";"""9231,68"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Sportsman Media Group GMBH.""";"""13205,55"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TRAFFIC SPORTS INTERNATIONAL INC.""";"""33331,17"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""EUROSPORT SAS.""";"""35938,03"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA).""";"""43603,44"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Dentsu Inc.""";"""52865,13"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Golden Boy""";"""70140,79"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FÉDÉRATION INTERNATIONALE DE GYMNASTIQUE (FIG).""";"""101107,99"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Benfica TV S.A.""";"""116429,53"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""ENGLISH DISTRIBUTION, LLC""";"""132228,41"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""ENJOY""";"""137505,97"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Give me sports & events limited""";"""247264,72"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""261455,23"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TRANS WORLD INTERNATIONAL INC.""";"""353874,56"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""IEC IN SPORTS AB""";"""399562,45"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FÉDÉRATION INTERNATIONALE DE NATATION - FINA""";"""468959,16"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""SPORTFIVE International S.A (Sportfive)""";"""510129,82"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""NBA PROPERTIES INC.""";"""816084,65"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""PITCH INTERNATIONAL""";"""971807,54"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL-UEFA""";"""1097684,45"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Full Play Group.""";"""1308634,2"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FSLA HOLDINGS LLC""";"""1668480,86"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Tennis Properties Limited.""";"""1689818,78"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FORMULA ONE WORLD CHAMPIONSHIP LIMITED.""";"""2047557,8"""
"""2015""";"""GLOBOSAT PROGRAMADORA LTDA""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""2430067,29"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Stichting Sportevenementen le champion.""";"""152,13"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""B4 CAPITAL SA.""";"""189,35"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Enjoy TV""";"""225,09"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Infront Sports & Media AG.""";"""345,52"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""SWIMMING AUSTRALIA LIMITED ACN""";"""485,88"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Sportsman Media Group GMBH.""";"""695,01"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""FIGTHERS ONLY WORD MMA AWARDS LLC""";"""766,15"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""TRAFFIC SPORTS EUROPE B.V.""";"""1754,26"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""EUROSPORT SAS.""";"""1855,43"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA).""";"""2293,71"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Golden Boy Promotions, LLC""";"""3692,29"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""FÉDÉRATION INTERNATIONALE DE GYMNASTIQUE (FIG).""";"""5322,94"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Benfica TV S.A.""";"""6118,34"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Give me sports & events limited""";"""7075,19"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""TRANS WORLD INTERNATIONAL INC.""";"""18625"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""IEC IN SPORTS INTERNATIONAL EVENTS AND COMMUNICATION AB""";"""20880,6"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""SPORTFIVE INTL S.A""";"""21603,82"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""FÉDÉRATION INTERNATIONALE DE NATATION - FINA""";"""24686,09"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Full Play Group.""";"""68875,46"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""Tennis Properties Limited.""";"""88937,82"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""International Olympic Committee.""";"""127898,29"""
"""2015""";"""HORIZONTE CONTEUDOS LTDA""";"""ZUFFA INTERNATIONAL, LLC""";"""13283723,34"""
"""2015""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""792505,67"""
"""2015""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""UNIVERSAL STUDIOS INTERNATIONAL TELEVISION DO BRASIL LTDA""";"""846444,81"""
"""2015""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""ORGANIZAÇÃO DESPORTIVA PAN-AMERICANA - ODEPA""";"""2298638,6"""
"""2015""";"""SKY BRASIL SERVIÇOS LTDA""";"""UNIVERSAL STUDIOS INTERNATIONAL TELEVISION DO BRASIL LTDA""";"""44147,25"""
"""2015""";"""SKY BRASIL SERVIÇOS LTDA""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""65672,64"""
"""2015""";"""SYNAPSE PROGRAMADORA DE CANAIS DE TV LTDA""";"""ARTE FRANCE""";"""6665,46"""
"""2015""";"""SYNAPSE PROGRAMADORA DE CANAIS DE TV LTDA""";"""SB TV PROGRAMMING INTERNATIONAL""";"""18844,63"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""WHILAND INTERNATIONAL S.A""";"""2889,36"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""Cinecom LLC D/B/A""";"""6835,6"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CINEPLEX INC.""";"""20940,74"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CDC United Network S.A.""";"""82876,02"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""MGM International Televisions Distribution INC""";"""121756,95"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""136105,45"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""GUSSI, S.A. DE C.V.""";"""172822,41"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CDC International SARL""";"""221914,08"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""299222,71"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""672129,59"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""LIONS GATE FILMS INTERNATIONAL""";"""926888,74"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""1276426,16"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""Freeway Spain S.L.""";"""1743277,14"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""PARAMOUNT SPAIN SL""";"""4070980,35"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""TWENTIETH CENTURY FOX INTERNATIONAL TELEVISION INC.""";"""6741574,93"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP""";"""7238255"""
"""2015""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""MGM Inter Televisions""";"""8612817,1"""
"""2015""";"""TOPSPORTS VENTURES LTDA.""";"""GLORY SPORTS INTERNATIONAL PTE LTD""";"""7058,69"""
"""2015""";"""TOPSPORTS VENTURES LTDA.""";"""NFL INTERNATIONAL LLC""";"""62658,36"""
"""2015""";"""TOPSPORTS VENTURES LTDA.""";"""INTERNATIONAL JUDO FEDERATION""";"""88677,76"""
"""2015""";"""ZOOMOO PROGRAMADORA SA.""";"""NATURAL HISTORY NEW ZEALAND LIMITED""";"""53241,49"""
"""2014""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""ESPN INTERNATIONAL BV""";"""2020576,95"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""SOUTH STAR FILMS, INC""";"""4952,01"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ELAH FINANCE, LLC""";"""6039,35"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""LIONS GATE FILMS INTERNATIONAL""";"""9457,21"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""MISSION PICTURES INTERNATIONAL""";"""10221,55"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FAIRWAY FILM ALLIANCE""";"""10222,98"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Lagestee Film BV""";"""11875,9"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Cinecom LLC D/B/A 13 Films""";"""19092,71"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Venice Film Distribution LLC""";"""21104,22"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Latin Film Funds (Netherlands) B.V.""";"""23718,64"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ATTRACTION INTERNATIONAL DISTRIBUTION INC.""";"""25783,23"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""DHX COOKIE JAR INC.""";"""30834,22"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CDC International""";"""47219,6"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CDC UNITED NETWORKS""";"""58785,17"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""SARAVA PICTURES LLC""";"""65866,87"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""79515,19"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FÉDÉRATION INTERNATIONALE DE FOOTBALL ASSOCIATION""";"""94217,12"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FULL PLAY GROUP S.A.""";"""192794,82"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""PRODUCTORA DE EVENTOS S.A""";"""353195,3"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Proscenium Pictures""";"""533604,99"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""547720,63"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FSLA HOLDINGS LLC""";"""857746,28"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""1000315,28"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GEM ENTERTAINMENT KFT""";"""1914640,53"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CPT HOLDINGS INC""";"""2620745,33"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL""";"""2767804,94"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ZUFFA INTERNATIONAL, LLC""";"""3707741,45"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""TORNEOS & TRAFFIC SPORTS MARKETING B.V""";"""4499221,58"""
"""2014""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FORMULA ONE WORLD CHAMPIONSHIP LIMITED.""";"""16477331,12"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Stichting Sportevenementen le champion.""";"""1681,31"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Aachen-Laurensberger Rennverein e.v""";"""3668,32"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""B4 CAPITAL SA.""";"""4535,23"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""S.V. - RSA D.O.O.""";"""6513,86"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""BEACH SOCCER""";"""7164,41"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Sportsman Media Group GMBH.""";"""8780,64"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA).""";"""11893,08"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""24808,15"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Dentsu Inc.""";"""27025,2"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""EUROSPORT SAS.""";"""27601,42"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TRAFFIC SPORTS INTERNATIONAL INC.""";"""40002,94"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Golden Boy""";"""49455,12"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Full Play Group.""";"""49482,82"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""IEC IN SPORTS AB""";"""49633,72"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Benfica TV S.A.""";"""91336,35"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FÉDÉRATION INTERNATIONALE DE GYMNASTIQUE (FIG).""";"""98423,22"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""98968,91"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""ENGLISH DISTRIBUTION, LLC""";"""154560,82"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""SPORTFIVE International S.A (Sportfive)""";"""366406,23"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""ENJOY""";"""501373,13"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""PITCH INTERNATIONAL""";"""610976,44"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL""";"""1005859,86"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FSLA HOLDINGS LLC""";"""1315921,71"""
"""2014""";"""GLOBOSAT PROGRAMADORA LTDA""";"""FORMULA ONE WORLD CHAMPIONSHIP LIMITED.""";"""1408518,05"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""Stichting Sportevenementen le champion.""";"""88,48"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""Aachen-Laurensberger Rennverein e.v""";"""193,07"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""B4 CAPITAL SA.""";"""238,69"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""S.V. - RSA D.O.O.""";"""343,01"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""BEACH SOCCER""";"""377,07"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""Sportsman Media Group GMBH.""";"""462,63"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""SILVER SPRING MEDIA AB (SPRING MEDIA).""";"""625,95"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""EUROSPORT SAS.""";"""1452,7"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""FÉDÉRATION INTERNATIONALE DE GYMNASTIQUE (FIG).""";"""2309,8"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""Golden Boy Promotions, LLC""";"""2602,98"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""Full Play Group.""";"""2604,33"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""IEC IN SPORTS INTERNATIONAL EVENTS AND COMMUNICATION AB""";"""2614,75"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""Benfica TV S.A.""";"""6266,21"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""SPORTFIVE INTL S.A""";"""14338,51"""
"""2014""";"""HORIZONTE CONTEUDOS LTDA""";"""ZUFFA INTERNATIONAL, LLC""";"""7637913,59"""
"""2014""";"""RADIO E TELEVISAO BANDEIRANTES S.A.""";"""viacom international inc""";"""39662,99"""
"""2014""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""FÉDÉRATION INTERNATIONALE DE NATATION - FINA""";"""186216,09"""
"""2014""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""ORGANIZAÇÃO DESPORTIVA PAN-AMERICANA - ODEPA""";"""1759599,71"""
"""2014""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""THE INTERNATIONAL OLYMPIC COMMITTEE""";"""1928196,52"""
"""2014""";"""RÁDIO E TELEVISÃO RECORD S/A""";"""UNIVERSAL STUDIOS INTERNATIONAL TELEVISION DO BRASIL LTDA""";"""2744258,7"""
"""2014""";"""SKY BRASIL SERVIÇOS LTDA""";"""UNIVERSAL STUDIOS INTERNATIONAL TELEVISION DO BRASIL LTDA""";"""5580,72"""
"""2014""";"""SKY BRASIL SERVIÇOS LTDA""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""135610,05"""
"""2014""";"""SKY BRASIL SERVIÇOS LTDA""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""162325,55"""
"""2014""";"""SYNAPSE PROGRAMADORA DE CANAIS DE TV LTDA""";"""SB TV PROGRAMMING INTERNATIONAL""";"""32490,53"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""WHILAND INTERNATIONAL S.A""";"""4206,03"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""PASATIEMPO PICTURES INC.""";"""5877,28"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CDC International SARL""";"""7073,61"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""CINEPLEX INC.""";"""16913,18"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""GUSSI, S.A. DE C.V.""";"""52496,54"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""MGM International Televisions Distribution INC""";"""127859,71"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""INTERNATIONAL DISTRIBUTION COMPANY, LLC.""";"""464173,34"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""UNIVERSAL STUDIOS INTERNATIONAL BV""";"""499134,58"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""1202343,75"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""Freeway Spain S.L.""";"""1354715,4"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""UNIVERSAL STUDIOS INTERNATIONAL TELEVISION DO BRASIL LTDA""";"""7183887,78"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""MGM Inter Televisions""";"""8661724"""
"""2014""";"""TELECINE PROGRAMACAO DE FILMES LTDA""";"""TCF HUNGARY FILM RIGHTS EXPLOITATION LIMITED COMPANY""";"""9668000,31"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""WORLD TAEKWONDO FEDERATION""";"""999,42"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""SANTA MONICA MEDIA S.L.""";"""8256,03"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""Group One Holdings Pte Ltd""";"""9591,93"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""GLORY SPORTS INTERNATIONAL PTE LTD""";"""14493,62"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""DEUTSCHER FUSBALL BUND E.V.""";"""16674,98"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""FEDERATION FRANÇAISE DE FOOTBALL""";"""20509,42"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""TRANS WORLD INTERNATIONAL INC.""";"""41282,69"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""MEDIA PARTNERS & SILVA LLC""";"""48256,12"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""NFL INTERNATIONAL LLC""";"""96883,32"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""INTERNATIONAL JUDO FEDERATION""";"""256135,35"""
"""2014""";"""TOPSPORTS VENTURES S.A.""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL""";"""1539382,74"""
"""2013""";"""ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA""";"""ESPN INTERNATIONAL BV""";"""1274134,27"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ELAH FINANCE, LLC""";"""1351,28"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CONSTANTIN FILM VERLEIH GMBH""";"""6986,69"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""MISSION PICTURES INTERNATIONAL""";"""11054,39"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Latin Film Funds (Netherlands) B.V.""";"""12391,84"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""CDC UNITED NETWORKS""";"""13661,54"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""HERITAGE FILMS INTERNATIONAL""";"""14761,88"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""SARAVA PICTURES LLC""";"""22971,9"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""LIONS GATE FILMS INTERNATIONAL""";"""25877,84"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FILMGATE ENTERTAINMENT INC""";"""27946,8"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ATTRACTION INTERNATIONAL DISTRIBUTION INC.""";"""37189,35"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""PRODUCTORA DE EVENTOS S.A""";"""288058,24"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FEDERATION INTERNATIONALE DE VOLLEYBALL""";"""621029,65"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""Proscenium Pictures""";"""705060,24"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FSLA HOLDINGS LLC""";"""811815,55"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GLOBAL MEDIA HOLDINGS, INC.""";"""991961,09"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""UNION DES ASSOCIATION EUROPÉENNES DE FOOTBALL""";"""1521091,77"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""ZUFFA INTERNATIONAL, LLC""";"""1580558,82"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""GEM ENTERTAINMENT KFT""";"""2108539,12"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""INTERNATIONAL OLYMPIC COMMITTEE""";"""5591556,19"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""TORNEOS & TRAFFIC SPORTS MARKETING B.V""";"""6596107,41"""
"""2013""";"""GLOBO COMUNICACAO E PARTICIPACOES S/A""";"""FÉDÉRATION INTERNATIONALE DE FOOTBALL ASSOCIATION""";"""10636901,47"""
"""2013""";"""GLOBOSAT PROGRAMADORA LTDA""";"""BEACH SOCCER""";"""2748,31"""
"""2013""";"""GLOBOSAT PROGRAMADORA LTDA""";"""TRAFFIC SPORTS INTERNATIONAL INC.""";"""3274,99"""
"""2013""";"""GLOBOSAT PROGRAMADORA LTDA""";"""Dentsu Inc.""";"""13938"""
