dataset,titulo,prioridade_auditoria,resultado_auditoria,achado,acao,execucao,evidencia_final
bfi-top-filmes-2023,Top Filmes no Reino Unido 2023,P1,Corrigir,"Arquivos tratados abriram e o esquema foi inventariado. Abas da origem sem representação indicada no tratado: T10, T2, T3, T4, T5, T6, T7, T8, T9.","Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados. Publicar as demais ou delimitar explicitamente o escopo do cartão.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-economia-do-cinema,Economia do Cinema Britanico,P1,Corrigir,Arquivos tratados abriram e o esquema foi inventariado. Abas da origem sem representação indicada no tratado: T2.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados. Publicar as demais ou delimitar explicitamente o escopo do cartão.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-mercado-cinematografico,Mercado Cinematografico do Reino Unido,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_uk_film_market [T1, T2, T3].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
bfi-talentos-britanicos-mundo,Filmes Britanicos e Talentos no Mundo,P1,Corrigir,"Tabelas diferentes da origem foram empilhadas no mesmo recurso: bfi_talentos_mundo [T1, T10, T11, T12, T13, T14, T15, T16, T2].","Separar por tabela/conceito da origem; publicar um CSV/XLSX por recurso e cartões próprios quando a unidade de análise mudar. Remover notas, subtotais ambíguos e colunas incompatíveis.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
acau-uruguay-apoios-audiovisual,Apoios Audiovisuais do Uruguai,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-atividades-economicas-agentes,Atividades Econômicas dos Agentes Regulares Registrados na Ancine,P1,Atualizar,Fonte atual: 148217 registros. Bruto RIDAB: 144710.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-produtoras-independentes,Produtoras Independentes Regulares Registradas na Ancine,P1,Atualizar,Fonte atual: 12260 registros. Bruto RIDAB: 11930.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-canais-programadoras,Canais de Programação de Programadoras Ativos Credenciados na Ancine,P1,Atualizar,Fonte atual: 389 registros. Bruto RIDAB: 385.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-canais-distribuicao-obrigatoria,Canais de Programação de Distribuição Obrigatória Ativos Credenciados na Ancine,P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-salas-exibicao-complexos,Salas de Exibição e Complexos Registrados na Ancine,P1,Atualizar,Fonte atual: 6405 registros. Bruto RIDAB: 6367.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-obras-fomento-indireto,Obras Brasileiras com Fomento Indireto Aprovado (Leis de Incentivo),P1,Atualizar,Fonte atual: 3179 registros. Bruto RIDAB: 3120.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-obras-investimento-fsa,Obras Brasileiras com Investimento do FSA,P1,Atualizar,Fonte atual: 3301 registros. Bruto RIDAB: 3163.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-pais-origem-obras-br,País de Origem das Obras Não Publicitárias Brasileiras,P1,Corrigir,Diferenças após normalização: titulo_original (1 células).,"Preservar literais como NA/N/A, definir nulos explicitamente e validar novamente antes de atualizar o snapshot.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-obras-estrangeiras-roe,Obras Não Publicitárias Estrangeiras (ROE),P1,Corrigir,Fonte atual: 31311 registros. Bruto RIDAB: 30948. Há 2 ocorrências de notas detectadas em campos de registros.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 promovido; 31.311 linhas reprocessadas.
ancine-diretores-obras-estrangeiras,Diretores de Obras Não Publicitárias Estrangeiras (ROE),P1,Corrigir,Diferenças após normalização: diretor (2 células).,"Preservar literais como NA/N/A, definir nulos explicitamente e validar novamente antes de atualizar o snapshot.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-produtores-obras-estrangeiras,Produtores de Obras Não Publicitárias Estrangeiras (ROE),P1,Corrigir,Diferenças após normalização: produtor (1 células).,"Preservar literais como NA/N/A, definir nulos explicitamente e validar novamente antes de atualizar o snapshot.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-pais-origem-obras-estrangeiras,País de Origem de Obras Estrangeiras (ROE),P1,Atualizar,Fonte atual: 75409 registros. Bruto RIDAB: 74991.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-bilheteria-diaria-distribuidoras,Bilheteria Diária — informações de Distribuidoras,P1,Corrigir,O download tratado é um agregado filme × ano × distribuidora. A granularidade diária e por sala fica somente nos brutos.,"Oferecer base diária particionada e cartão separado para o agregado anual. Renomear sessoes: COUNT(*) conta registros reportados, sem comprovar sessões de cinema.",Concluído,"152 CSVs oficiais, 21.274.038 linhas detalhadas em 13 partições anuais e agregado refeito."
ancine-grupos-economicos,Relação de Grupos Econômicos,P1,Atualizar,Fonte atual: 7924 registros. Bruto RIDAB: 7657.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-crt-obras-nao-publicitarias,CRT — Obras Não Publicitárias Registradas,P1,Corrigir,Fonte atual: 185819 registros. Bruto RIDAB: 184312. Há 2 ocorrências de notas detectadas em campos de registros.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 promovido; 185.819 linhas e dois agregados refeitos.
ancine-crt-obras-publicitarias,CRT — Obras Publicitárias Registradas,P1,Corrigir,Diferenças após normalização: produto_servico_anunciado (1 células).,"Preservar literais como NA/N/A, definir nulos explicitamente e validar novamente antes de atualizar o snapshot.",Concluído,"Correção aplicada, esquema alinhado ao Parquet e downloads independentes gerados e reabertos."
ancine-bilheteria-diaria-exibidoras,Bilheteria Diária — informações de Exibidoras,P1,Corrigir,3 agregados anuais substituem o detalhe diário na camada tratada. COUNT(*) recebe o nome sessoes.,Publicar o detalhe diário particionado e separar os 3 agregados. Usar registros_reportados até validar o significado de sessões.,Concluído,"651 CSVs oficiais, 37.672.799 linhas detalhadas em 13 partições anuais e três agregados refeitos."
ancine-fsa-investimento-contratados,Projetos de Investimento Contratados — FSA (versão PDA),P2,Melhorar,Arquivos tratados abriram e o esquema foi inventariado.,"Disponibilizar CSV e XLSX integrais por tabela, com identificadores como texto, números tipados e dicionário de dados.",Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-prestacao-contas-processos,Processos em Fase de Prestação de Contas,P1,Atualizar,Fonte atual: 11385 registros. Bruto RIDAB: 11283.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-filmagem-estrangeira,Filmagem Estrangeira em Território Nacional,P2,Melhorar,O campo local_filmagem_uf foi eliminado do tratado por estar vazio no snapshot.,Preservar o campo do esquema como nulo e documentar a ausência na origem; disponibilizar CSV ou XLSX direto.,Concluído,"Recurso publicado separadamente com Parquet, CSV/CSV.GZ integral e XLSX quando compatível com o tamanho."
ancine-salas-exibicao-evolucao,Salas de Exibição — Evolução Anual,P1,Atualizar,Fonte atual: 68100 registros. Bruto RIDAB: 68063.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-lancamentos-distribuidoras,Lançamentos Comerciais por Distribuidoras,P1,Atualizar,Fonte atual: 7206 registros. Bruto RIDAB: 7051.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-agentes-economicos-estrangeiros,Agentes Econômicos Estrangeiros,P1,Atualizar,Fonte atual: 106 registros. Bruto RIDAB: 105.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
ancine-complexos-cinematograficos-evolucao,Complexos Cinematográficos — Evolução Anual,P1,Atualizar,Fonte atual: 19758 registros. Bruto RIDAB: 19743.,"Atualizar o snapshot a partir da origem, reprocessar e registrar data, diferenças e hash. Oferecer download integral por tabela.",Concluído,Snapshot oficial de 2026-09-08 com hash e proveniência; Parquet e downloads integrais reprocessados.
